358,778,2,"000001","185.000","30.000","0.000"
359,4779,2,"000004","209.000","30.000","0.000"
361,2115,3,"34444","2.630","0.000","0.000"
362,7394,3,"34401","4.990","0.000","0.000"
363,7863,3,"34428","3.800","0.000","0.000"
367,1059,3,"299133","2.700","0.000","0.000"
368,2625,4,"000006104588","1.370","0.000","0.000"
369,8419,4,"000006104630","1.370","0.000","0.000"
370,3755,4,"000006104586","1.370","0.000","0.000"
371,1487,4,"000006104590","1.370","0.000","0.000"
372,1434,4,"000006104592","1.370","0.000","0.000"
373,3756,4,"000006104593","1.370","0.000","0.000"
374,1489,4,"000006104594","1.370","0.000","0.000"
375,886,4,"000006000210","2.930","0.000","0.000"
376,882,4,"000006000026","2.930","0.000","0.000"
377,2710,4,"000006102017","2.930","0.000","0.000"
378,885,4,"000006102070","2.930","0.000","0.000"
379,883,4,"000006000018","2.930","0.000","0.000"
380,884,4,"000006000019","2.930","0.000","0.000"
381,2735,4,"000007181115","71.710","10.000","0.000"
382,10639,4,"000007190828","371.230","24.000","0.000"
385,10166,4,"000007197404","24.680","14.000","0.000"
386,3166,4,"000007130125","24.680","14.000","0.000"
387,3163,4,"000007130124","24.680","14.000","0.000"
388,3167,4,"000007130241","24.680","14.000","0.000"
389,8656,4,"000019090266","2.810","0.000","0.000"
392,10640,4,"000019090293","2.810","0.000","0.000"
393,8659,4,"000019090260","2.810","0.000","0.000"
395,9112,4,"000019090264","2.810","0.000","0.000"
396,8661,4,"000019090263","2.810","0.000","0.000"
397,655,4,"000019900085","53.500","50.000","0.000"
398,649,4,"000019090087","53.500","50.000","0.000"
399,663,4,"000019000011","53.500","50.000","0.000"
400,660,4,"000019000012","53.500","50.000","0.000"
401,665,4,"000019000010","53.500","50.000","0.000"
404,10641,4,"000019090267","53.500","50.000","0.000"
405,651,4,"000019090086","53.500","50.000","0.000"
406,9350,4,"000019090269","53.500","50.000","0.000"
407,3336,5,"1000239PZ","2.236","0.000","0.000"
408,5301,5,"1000240PZ","2.028","0.000","0.000"
411,10642,5,"1001643TF","1.638","0.000","0.000"
413,8013,6,"8000010-0","30.500","10.000","0.000"
414,771,6,"8001242-0","37.800","30.000","0.000"
415,818,6,"8001207-0","32.000","10.000","0.000"
416,2688,6,"8001206-0","34.500","10.000","0.000"
417,9166,6,"8001781-0","10.990","10.000","0.000"
418,2133,6,"8001599-0","15.990","10.000","0.000"
419,4989,6,"8000648-0","198.000","12.000","0.000"
420,3110,6,"8000238-0","126.950","25.000","0.000"
421,3676,6,"8000240-0","112.440","25.000","0.000"
422,5500,6,"8000237-0","41.110","25.000","0.000"
423,3528,6,"8000396-0","45.330","24.000","0.000"
424,1968,6,"8000003-0","45.590","48.000","0.000"
425,4499,6,"8000563-0","115.750","96.000","0.000"
1137,1055,3,"299134","1.960","0.000","0.000"
1146,572,10,"01001001","15.200","12.000","0.000"
1147,568,10,"01001002","15.200","6.000","0.000"
1148,9474,10,"01001003","12.660","2.000","0.000"
1149,536,10,"01002003","14.900","12.000","0.000"
1150,565,10,"01002006","25.200","6.000","0.000"
1151,3041,10,"01002008","25.200","12.000","0.000"
1153,3027,10,"01003010","27.800","24.000","0.000"
1154,3028,10,"01003011","27.800","24.000","0.000"
1155,3671,10,"01003012","27.800","24.000","0.000"
1156,11495,10,"01003013","26.800","12.000","0.000"
1157,11138,10,"01003015","26.800","12.000","0.000"
1158,418,10,"01004001","33.610","12.000","0.000"
1160,1269,10,"02006001","13.440","12.000","0.000"
1161,1247,10,"02006002","2.233","12.000","0.000"
1162,1750,10,"03009007","53.000","10.000","0.000"
1163,1751,10,"03009008","67.000","10.000","0.000"
1172,11496,13,"300047781","1.840","0.000","0.000"
1173,11106,13,"300047783","1.840","0.000","0.000"
1174,11477,13,"300053147","1.440","0.000","0.000"
1175,3442,13,"300004269","3.810","0.000","0.000"
1176,11206,13,"300053332","1.510","0.000","0.000"
1177,10660,13,"300047700","5.950","0.000","0.000"
1178,10089,13,"300047675","5.950","0.000","0.000"
1179,11023,13,"300052956","3.040","0.000","0.000"
1180,11185,13,"300047146","1.510","0.000","0.000"
1181,11251,13,"300047519","1.510","0.000","0.000"
1182,11251,13,"7892840816803","1.510","0.000","0.000"
1184,11138,10,"7896093500205","2.230","0.000","0.000"
1186,8261,14,"13674","2.409","0.000","0.000"
1187,3521,14,"9236","29.900","12.000","0.000"
1188,2719,14,"9240","64.358","12.000","0.000"
